slug,timestamp,open,high,low,close,volume,resolved
btc-updown-15m-1776511800,1776510900000,0.51,0.52,0.51,0.52,322.31199999999995,0
btc-updown-15m-1776511800,1776510960000,0.52,0.529166,0.52,0.529166,275.9568,0
btc-updown-15m-1776511800,1776511020000,0.529166,0.54,0.529166,0.54,19.999996,0
btc-updown-15m-1776511800,1776511080000,0.54,0.545429,0.54,0.545429,51.427992,0
btc-updown-15m-1776511800,1776511140000,0.545429,0.545429,0.545429,0.545429,0,0
btc-updown-15m-1776511800,1776511200000,0.545429,0.545429,0.54,0.54,216,0
btc-updown-15m-1776511800,1776511260000,0.54,0.54,0.54,0.54,0,0
btc-updown-15m-1776511800,1776511320000,0.54,0.55,0.54,0.55,68.64,0
btc-updown-15m-1776511800,1776511380000,0.55,0.55,0.55,0.55,0,0
btc-updown-15m-1776511800,1776511440000,0.55,0.55,0.55,0.55,0,0
btc-updown-15m-1776511800,1776511500000,0.55,0.55,0.55,0.55,0,0
btc-updown-15m-1776511800,1776511560000,0.55,0.55,0.55,0.55,0,0
btc-updown-15m-1776511800,1776511620000,0.55,0.55,0.55,0.55,0,0
btc-updown-15m-1776511800,1776511680000,0.55,0.55,0.54,0.54,75.839992,0
btc-updown-15m-1776511800,1776511740000,0.54,0.54,0.54,0.54,291.079988,0
btc-updown-15m-1776512700,1776511800000,0.51,0.51,0.51,0.51,142.359996,1
btc-updown-15m-1776512700,1776511860000,0.51,0.51,0.51,0.51,19.999996,1
btc-updown-15m-1776512700,1776511920000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776512700,1776511980000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776512700,1776512040000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776512700,1776512100000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776512700,1776512160000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776512700,1776512220000,0.51,0.517297,0.51,0.517297,76.56,1
btc-updown-15m-1776512700,1776512280000,0.517297,0.543409,0.5,0.543409,679.48,1
btc-updown-15m-1776512700,1776512340000,0.543409,0.57,0.543409,0.57,32.0112,1
btc-updown-15m-1776512700,1776512400000,0.57,0.57,0.57,0.57,116.60359199999999,1
btc-updown-15m-1776512700,1776512460000,0.57,0.5768,0.57,0.5768,337.5436,1
btc-updown-15m-1776512700,1776512520000,0.5768,0.5768,0.57,0.57,92.112,1
btc-updown-15m-1776512700,1776512580000,0.57,0.57,0.564444,0.564444,170.036392,1
btc-updown-15m-1776512700,1776512640000,0.564444,0.578525,0.56,0.56,746.199956,1
btc-updown-15m-1776513600,1776512700000,0.51,0.52,0.51,0.52,322.950396,1
btc-updown-15m-1776513600,1776512760000,0.52,0.5323,0.52,0.5323,317.999996,1
btc-updown-15m-1776513600,1776512820000,0.5323,0.5323,0.5323,0.5323,0,1
btc-updown-15m-1776513600,1776512880000,0.5323,0.55,0.5323,0.55,19.999996,1
btc-updown-15m-1776513600,1776512940000,0.55,0.55,0.55,0.55,31.438,1
btc-updown-15m-1776513600,1776513000000,0.55,0.55,0.55,0.55,11.374,1
btc-updown-15m-1776513600,1776513060000,0.55,0.55,0.55,0.55,0,1
btc-updown-15m-1776513600,1776513120000,0.55,0.55,0.55,0.55,0,1
btc-updown-15m-1776513600,1776513180000,0.55,0.55,0.55,0.55,0,1
btc-updown-15m-1776513600,1776513240000,0.55,0.55,0.55,0.55,0,1
btc-updown-15m-1776513600,1776513300000,0.55,0.55,0.54,0.54,19.999996,1
btc-updown-15m-1776513600,1776513360000,0.54,0.54,0.54,0.54,0,1
btc-updown-15m-1776513600,1776513420000,0.54,0.54,0.53,0.53,212.207992,1
btc-updown-15m-1776513600,1776513480000,0.53,0.53,0.51,0.51,54.599992,1
btc-updown-15m-1776513600,1776513540000,0.51,0.53,0.51,0.53,262.14559199999997,1
btc-updown-15m-1776514500,1776513600000,0.51,0.51,0.51,0.51,121.959996,1
btc-updown-15m-1776514500,1776513660000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776514500,1776513720000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776514500,1776513780000,0.51,0.51,0.51,0.51,40.8,1
btc-updown-15m-1776514500,1776513840000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776514500,1776513900000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776514500,1776513960000,0.51,0.51,0.51,0.51,0,1
btc-updown-15m-1776514500,1776514020000,0.51,0.51,0.48,0.48,12,1
btc-updown-15m-1776514500,1776514080000,0.48,0.48,0.48,0.48,403.999992,1
btc-updown-15m-1776514500,1776514140000,0.48,0.48,0.48,0.48,10.3872,1
btc-updown-15m-1776514500,1776514200000,0.48,0.48,0.48,0.48,72.399996,1
btc-updown-15m-1776514500,1776514260000,0.48,0.48,0.48,0.48,0,1
btc-updown-15m-1776514500,1776514320000,0.48,0.48,0.48,0.48,117.567996,1
btc-updown-15m-1776514500,1776514380000,0.48,0.48,0.48,0.48,113.919988,1
btc-updown-15m-1776514500,1776514440000,0.48,0.48,0.46625,0.47,437.72319200000004,1
